시군구,region 지역별(1),region 지역별(2),region 지역별(3),region 지역별(4),per
11110,a7 서울,a701 강북권역,a70101 도심권,a7010101 종로,64.7
11140,a7 서울,a701 강북권역,a70101 도심권,a7010102 중,63.2
11170,a7 서울,a701 강북권역,a70101 도심권,a7010103 용산,50.3
11200,a7 서울,a701 강북권역,a70102 동북권,a7010201 성동,54.8
11215,a7 서울,a701 강북권역,a70102 동북권,a7010202 광진,58.9
11230,a7 서울,a701 강북권역,a70102 동북권,a7010203 동대문,60.4
11260,a7 서울,a701 강북권역,a70102 동북권,a7010204 중랑,63.3
11290,a7 서울,a701 강북권역,a70102 동북권,a7010205 성북,63.1
11305,a7 서울,a701 강북권역,a70102 동북권,a7010206 강북,63.5
11320,a7 서울,a701 강북권역,a70102 동북권,a7010207 도봉,53.7
11350,a7 서울,a701 강북권역,a70102 동북권,a7010208 노원,51.3
11380,a7 서울,a701 강북권역,a70103 서북권,a7010301 은평,59.5
11410,a7 서울,a701 강북권역,a70103 서북권,a7010302 서대문,59.8
11440,a7 서울,a701 강북권역,a70103 서북권,a7010303 마포,57.8
11470,a7 서울,a702 강남권역,a70201 서남권,a7020101 양천,55.4
11500,a7 서울,a702 강남권역,a70201 서남권,a7020102 강서,58.5
11530,a7 서울,a702 강남권역,a70201 서남권,a7020103 구로,64.4
11545,a7 서울,a702 강남권역,a70201 서남권,a7020104 금천,61.1
11560,a7 서울,a702 강남권역,a70201 서남권,a7020105 영등포,53.9
11590,a7 서울,a702 강남권역,a70201 서남권,a7020106 동작,60.6
11620,a7 서울,a702 강남권역,a70201 서남권,a7020107 관악,63.7
11650,a7 서울,a702 강남권역,a70202 동남권,a7020201 서초,56.2
11680,a7 서울,a702 강남권역,a70202 동남권,a7020202 강남,52.6
11710,a7 서울,a702 강남권역,a70202 동남권,a7020203 송파,51.9
11740,a7 서울,a702 강남권역,a70202 동남권,a7020204 강동,60.3
41290,a8 경기,a801 경부1권,a80101 과천,소계,43.5
41171,a8 경기,a801 경부1권,a80102 안양,a8010201 만안,65.3
41173,a8 경기,a801 경부1권,a80102 안양,a8010202 동안,56
41131,a8 경기,a801 경부1권,a80103 성남,a8010301 수정,59.6
41133,a8 경기,a801 경부1권,a80103 성남,a8010302 중원,52.6
41135,a8 경기,a801 경부1권,a80103 성남,a8010303 분당,54.3
41410,a8 경기,a801 경부1권,a80104 군포,소계,63.1
41430,a8 경기,a801 경부1권,a80105 의왕,소계,58
41550,a8 경기,a802 경부2권,a80201 안성,소계,75.5
41461,a8 경기,a802 경부2권,a80202 용인,a8020201 처인,73.3
41463,a8 경기,a802 경부2권,a80202 용인,a8020202 기흥,70
41465,a8 경기,a802 경부2권,a80202 용인,a8020203 수지,65.6
41110,a8 경기,a802 경부2권,a80203 수원,소계,64.1
41111,a8 경기,a802 경부2권,a80203 수원,a8020301 장안,65.4
41113,a8 경기,a802 경부2권,a80203 수원,a8020302 권선,67.3
41115,a8 경기,a802 경부2권,a80203 수원,a8020303 팔달,57.8
41117,a8 경기,a802 경부2권,a80203 수원,a8020304 영통,62.8
41190,a8 경기,a803 서해안권,a80301 부천,소계,64.9
41270,a8 경기,a803 서해안권,a80302 안산,소계,62.3
41271,a8 경기,a803 서해안권,a80302 안산,a8030201 상록,62.8
41273,a8 경기,a803 서해안권,a80302 안산,a8030202 단원,61.9
41390,a8 경기,a803 서해안권,a80303 시흥,소계,66.1
41210,a8 경기,a803 서해안권,a80304 광명,소계,56.1
41590,a8 경기,a803 서해안권,a80305 화성,소계,62.9
41370,a8 경기,a803 서해안권,a80306 오산,소계,69.4
41220,a8 경기,a803 서해안권,a80307 평택,소계,69.5
41360,a8 경기,a804 동부1권,a80401 남양주,소계,68.9
41310,a8 경기,a804 동부1권,a80402 구리,소계,60.9
41450,a8 경기,a804 동부1권,a80403 하남,소계,62.1
41610,a8 경기,a804 동부1권,a80404 광주,소계,73.2
41500,a8 경기,a805 동부2권,a80501 이천,소계,81.9
41730,a8 경기,a805 동부2권,a80502 여주,소계,84.2
41570,a8 경기,a806 경의권,a80601 김포,소계,66.9
41281,a8 경기,a806 경의권,a80602 고양,a8060201 덕양,68.7
41285,a8 경기,a806 경의권,a80602 고양,a8060202 일산동,73
41287,a8 경기,a806 경의권,a80602 고양,a8060203 일산서,72.9
41480,a8 경기,a806 경의권,a80603 파주,소계,74.5
41650,a8 경기,a807 경원권,a80701 포천,소계,72.6
41250,a8 경기,a807 경원권,a80702 동두천,소계,69.8
41630,a8 경기,a807 경원권,a80703 양주,소계,72.7
41150,a8 경기,a807 경원권,a80704 의정부,소계,72.2
28110,a9 인천,a901 중,소계,소계,68
28140,a9 인천,a902 동,소계,소계,75.1
28177,a9 인천,a903 미추홀,소계,소계,74.5
28185,a9 인천,a904 연수,소계,소계,65
28200,a9 인천,a905 남동,소계,소계,70.2
28237,a9 인천,a906 부평,소계,소계,68.5
28245,a9 인천,a907 계양,소계,소계,70.7
28260,a9 인천,a908 서,소계,소계,67.1
26110,b1 부산,b101 중부산권,b10101 중,소계,70
26140,b1 부산,b101 중부산권,b10102 서,소계,70
26170,b1 부산,b101 중부산권,b10103 동,소계,65.2
26200,b1 부산,b101 중부산권,b10104 영도,소계,65.4
26230,b1 부산,b101 중부산권,b10105 부산진,소계,69.2
26290,b1 부산,b101 중부산권,b10106 남,소계,66.6
26470,b1 부산,b101 중부산권,b10107 연제,소계,62.4
26500,b1 부산,b101 중부산권,b10108 수영,소계,50.9
26350,b1 부산,b102 동부산권,b10201 해운대,소계,52.4
26410,b1 부산,b102 동부산권,b10202 금정,소계,66
26260,b1 부산,b102 동부산권,b10203 동래,소계,61.7
26710,b1 부산,b102 동부산권,b10204 기장,소계,73
26320,b1 부산,b103 서부산권,b10301 북,소계,72.1
26440,b1 부산,b103 서부산권,b10302 강서,소계,66.2
26530,b1 부산,b103 서부산권,b10303 사상,소계,72.8
26380,b1 부산,b103 서부산권,b10304 사하,소계,68.7
27110,b2 대구,b201 중,소계,소계,70.3
27140,b2 대구,b202 동,소계,소계,74.6
27170,b2 대구,b203 서,소계,소계,62.7
27200,b2 대구,b204 남,소계,소계,70.9
27230,b2 대구,b205 북,소계,소계,80
27290,b2 대구,b206 수성,소계,소계,63.4
27290,b2 대구,b207 달서,소계,소계,75.5
27710,b2 대구,b208 달성,소계,소계,75.8
29110,b3 광주,b301 동,소계,소계,72.1
29140,b3 광주,b302 서,소계,소계,75.5
29155,b3 광주,b303 남,소계,소계,69.7
29170,b3 광주,b304 북,소계,소계,78.6
29200,b3 광주,b305 광산,소계,소계,75.7
30110,b4 대전,b401 동,소계,소계,72.4
30140,b4 대전,b402 중,소계,소계,70.5
30170,b4 대전,b403 서,소계,소계,71.3
30200,b4 대전,b404 유성,소계,소계,69
30230,b4 대전,b405 대덕,소계,소계,71.2
31110,b5 울산,b501 중,소계,소계,72.3
31140,b5 울산,b502 남,소계,소계,71.7
31170,b5 울산,b503 동,소계,소계,79
31200,b5 울산,b504 북,소계,소계,77.9
31710,b5 울산,b505 울주,소계,소계,75.9
36110,b6 세종,소계,소계,소계,48.5
42110,c1 강원,c101 춘천,소계,소계,82.7
42130,c1 강원,c102 원주,소계,소계,76.3
42150,c1 강원,c103 강릉,소계,소계,79.1
42170,c1 강원,c104 동해,소계,소계,79.3
42190,c1 강원,c105 태백,소계,소계,69.7
42210,c1 강원,c106 속초,소계,소계,73.7
42230,c1 강원,c107 삼척,소계,소계,72.2
43111,c2 충북,c201 청주,c20101 상당,소계,82.4
43112,c2 충북,c201 청주,c20102 서원,소계,84
43113,c2 충북,c201 청주,c20103 흥덕,소계,76.9
43710,c2 충북,c201 청주,c20104 청원,소계,78.6
43130,c2 충북,c203 충주,소계,소계,76
43150,c2 충북,c204 제천,소계,소계,74
43770,c2 충북,c206 음성,소계,소계,69.8
44131,c3 충남,c301 천안,c302 동남,소계,81.3
44133,c3 충남,c301 천안,c303 서북,소계,79.7
44150,c3 충남,c304 공주,소계,소계,72.6
44180,c3 충남,c305 보령,소계,소계,72.7
44200,c3 충남,c306 아산,소계,소계,77.6
44210,c3 충남,c307 서산,소계,소계,82.7
44230,c3 충남,c308 논산,소계,소계,74.6
44250,c3 충남,c309 계룡,소계,소계,74
44800,c3 충남,c311 홍성,소계,소계,73.9
44810,c3 충남,c312 예산,소계,소계,68
44270,c3 충남,c313 당진,소계,소계,83.1
45111,c4 전북,c401 전주,c402 완산,소계,79.7
45113,c4 전북,c401 전주,c403 덕진,소계,79
45130,c4 전북,c404 군산,소계,소계,80.8
45140,c4 전북,c405 익산,소계,소계,80.9
45180,c4 전북,c406 정읍,소계,소계,70.4
45190,c4 전북,c407 남원,소계,소계,71.1
45210,c4 전북,c408 김제,소계,소계,69.3
46110,c5 전남,c501 목포,소계,소계,83.2
46130,c5 전남,c502 여수,소계,소계,68.3
46150,c5 전남,c503 순천,소계,소계,79.9
46170,c5 전남,c504 나주,소계,소계,71.8
46230,c5 전남,c505 광양,소계,소계,84.3
46840,c5 전남,c506 무안,소계,소계,75.7
47130,c6 경북,c601 경주,소계,소계,74.8
47190,c6 경북,c602 구미,소계,소계,80.9
47111,c6 경북,c603 포항,c60301 남,소계,79.9
47113,c6 경북,c603 포항,c60302 북,소계,83.7
47150,c6 경북,c604 김천,소계,소계,75.1
47170,c6 경북,c605 안동,소계,소계,73.7
47210,c6 경북,c606 영주,소계,소계,76.6
47230,c6 경북,c607 영천,소계,소계,77.1
47250,c6 경북,c608 상주,소계,소계,71
47280,c6 경북,c609 문경,소계,소계,71.8
47290,c6 경북,c610 경산,소계,소계,78.1
47850,c6 경북,c611 칠곡,소계,소계,77.7
48121,c7 경남,c701 창원,c70101 의창,소계,73
48123,c7 경남,c701 창원,c70102 성산,소계,70.1
48125,c7 경남,c701 창원,c70103 마산합포,소계,78.9
48127,c7 경남,c701 창원,c70104 마산회원,소계,81.2
48129,c7 경남,c701 창원,c702 진해,소계,71.1
48170,c7 경남,c703 진주,소계,소계,78.2
48220,c7 경남,c704 통영,소계,소계,72.1
48240,c7 경남,c705 사천,소계,소계,78.8
48250,c7 경남,c706 김해,소계,소계,79
48270,c7 경남,c707 밀양,소계,소계,73
48310,c7 경남,c708 거제,소계,소계,69.2
48330,c7 경남,c709 양산,소계,소계,72.9
50110,c8 제주,c801 제주,소계,소계,62.8
50130,c8 제주,c802 서귀포,소계,소계,67.6
