SIG_KOR_NM,호당 매매가(천원),호당 전세가(천원),전세가율(%),건축허가면적(m2),지하철역 수(개),주민등록세대수(호),은행 점포수(개),1인가구(세대),아파트 매매거래 수,아파트 입주예정 물량(세대),직장인연봉(만원),직장인수(명),cluster
고양시덕양구,53277,35920,67.42121365692513,2056575,10,210486,26,76849,12176,30933,4300,666150,2
고양시일산동구,58203,41642,71.54614023332131,1381215,6,128436,39,47490,5016,10929,4470,62357,2
고양시일산서구,46728,33288,71.23780174627632,475295,4,117930,26,34523,2527,3248,3210,11733,1
과천시,171050,68439,40.0111078631979,745226,5,27262,12,6635,4633,12784,4470,189549,0
광명시,70631,35839,50.74117597089097,167622,3,119817,26,37730,1604,9145,3330,29947,2
광주시,42597,31870,74.81747540906638,1868091,4,167673,14,59969,2681,15864,3480,41463,1
구리시,64168,34342,53.51888791921206,277342,2,80616,14,27542,1786,6029,3710,109255,2
군포시,44815,27391,61.12016066049314,132579,7,113205,22,38424,4496,4620,3700,142808,2
김포시,49500,31010,62.64646464646465,2247904,9,200846,38,66678,4739,32725,3210,27065,2
남양주시,45865,30494,66.48642755914096,1724266,13,299156,38,93971,8846,28477,3180,14123,1
동두천시,17564,14570,82.95376907310408,333980,5,44369,6,19015,2643,1943,3400,40329,1
부천시,43543,30019,68.94104678134258,1325147,16,347024,81,122102,8012,15513,4230,40471,1
성남시분당구,118128,65913,55.79794798862251,1178849,8,194372,100,61234,5028,6916,4070,164319,0
성남시수정구,96609,53687,55.57142709271393,400606,8,114620,29,52480,726,16444,4080,44851,2
성남시중원구,61680,35943,58.27334630350195,231344,1,100328,22,43872,1295,10385,5260,378075,2
수원시권선구,45107,30929,68.56807147449399,1140256,4,157041,19,57872,6975,11661,3840,158284,1
수원시영통구,72065,44584,61.866370637618814,363338,6,151071,42,55201,8997,10394,3220,30113,2
수원시장안구,46349,31367,67.67567800815551,711285,1,118432,21,44998,3196,9931,4260,229968,1
수원시팔달구,50231,28989,57.71137345463957,609132,3,91278,67,45281,1659,14774,3790,29925,2
시흥시,32269,23739,73.56596113917382,2599091,10,220421,51,82790,8448,29220,5650,423495,1
안산시단원구,43844,27578,62.900282820910505,590538,9,135586,61,54652,3815,18510,4330,123108,1
안산시상록구,37835,23850,63.036870622439544,1487051,4,156527,16,62512,2932,9909,3310,20823,1
안성시,16246,13699,84.3222947187,2397465,0,89118,49,38680,5239,9539,4970,221455,1
안양시동안구,72814,43369,59.56134809239981,490810,3,121608,15,34633,3602,16330,5270,428089,2
안양시만안구,54580,34432,63.085379259802124,722549,4,103012,14,36367,2077,11780,3530,21998,2
양주시,26414,20278,76.76989475278262,1977579,3,102314,3,37208,3608,26908,3360,21903,1
여주시,16312,15121,92.69862677783227,1391759,2,52731,7,22242,1914,4338,3800,90398,1
오산시,30619,22323,72.90571213952121,1538634,4,102161,12,42058,4224,16907,4660,15265,1
용인시기흥구,57881,39280,67.86337485530657,1231859,10,173844,39,50957,5672,7986,3420,31256,2
용인시수지구,79544,52269,65.71080156894298,505706,5,140600,37,35112,5290,9129,4110,54484,2
용인시처인구,27990,20566,73.47624151482673,3087748,9,115048,13,45129,3227,16580,3830,95769,1
의왕시,60904,38420,63.08288453960331,944079,1,65734,11,19285,1763,6909,4410,59960,2
의정부시,32800,22601,68.90548780487805,1570913,21,205792,38,77805,5934,20952,3900,49427,1
이천시,20579,20580,100.00485932261043,2827543,3,101417,14,42590,4220,8139,3400,33982,1
파주시,32642,26435,80.98462104037742,3607188,7,211916,33,81531,8069,32841,3530,47279,1
평택시,24993,19066,76.28535990077222,5178955,5,262097,43,113932,13222,50429,3450,17189,1
포천시,15951,13799,86.50868284120118,1153610,0,73584,12,34095,1628,3304,3990,27461,1
하남시,91988,51790,56.300821846327786,706933,3,138764,23,52368,3461,29941,4040,40285,2
화성시,52178,29800,57.11219287822454,6235622,1,372888,72,138075,12218,59109,3560,55908,2
강남구,190725,85901,45.03919255472539,1615344,33,234233,283,95099,3602,22761,3410,15654,0
강동구,93878,46026,49.02746117301178,1099704,13,201613,51,74313,2082,28047,3830,37507,2
강북구,66844,37170,55.60708515349171,482673,11,144536,24,63836,1094,4164,3570,72868,2
강서구,78990,39767,50.34434738574504,2104922,22,271175,63,118270,3182,11162,3400,62014,2
관악구,72896,42716,58.59855136084284,330146,4,276597,36,165811,286,5500,3360,7338,2
광진구,119538,61118,51.128511435694094,304862,11,167949,46,81256,3165,5605,3530,84854,0
구로구,61867,35298,57.05464949003507,659799,13,180929,56,72576,2820,7634,5150,238678,2
금천구,59205,33181,56.044253019170675,698341,4,117595,48,58395,1250,7299,3730,29616,2
노원구,67080,30225,45.05813953488372,1435377,16,217378,51,74565,4434,5510,3860,58594,2
도봉구,58555,29587,50.52856288959098,145123,8,138656,22,48682,2095,2018,3730,41003,2
동대문구,77250,43706,56.57734627831715,481963,14,168219,49,82531,1893,15420,9410,172586,2
동작구,111649,60798,54.45458535230947,952632,17,184812,44,84446,1748,6653,3680,21174,0
마포구,117017,58029,49.590230479332064,631693,22,179861,82,85055,1702,7212,3770,29223,0
서대문구,90906,50684,55.754295646051965,251264,7,143647,46,63380,1675,10858,3930,97423,2
서초구,205581,83676,40.702204970303676,875176,19,170244,163,59336,2527,14802,4120,115402,0
성동구,142931,63972,44.757260496323404,539535,19,134233,53,57653,1683,3097,3440,21387,0
성북구,83723,45385,54.2085209560097,556214,13,195017,47,79845,2724,7548,3860,48172,2
송파구,154178,67206,43.589876636095944,814160,29,282417,127,103275,2396,13627,4340,86901,0
양천구,102907,51345,49.894564995578534,195237,6,181404,57,56418,2061,5766,3780,28284,2
영등포구,101678,50759,49.92132024626763,1186619,19,187020,124,90876,2078,17560,3500,34855,2
용산구,199765,69879,34.980602207593925,1255329,18,111036,64,54174,1359,3122,3610,16533,0
은평구,72928,39443,54.084850811759544,742657,15,214711,36,85088,1943,15640,3590,27786,2
종로구,91967,60857,66.1726488849261,516635,15,73494,101,37857,551,3189,5050,98935,2
중구,89459,54486,60.90611341508401,733635,24,63519,145,32752,661,5699,3550,28746,2
중랑구,64107,35922,56.034442416584774,349178,15,185712,28,81201,1766,7068,3820,66283,2
계양구,23677,18665,78.83177767453647,327277,7,127984,17,44994,5823,8322,3800,19754,1
남동구,32422,25407,78.36345691197334,810357,14,228442,63,85587,8416,5950,3320,25696,1
동구,19981,15532,77.73384715479705,44046,1,28681,7,11590,1351,19132,5940,76520,1
미추홀구,25490,19477,76.41035700274618,1645685,8,193561,29,83179,4938,30098,3620,77268,1
부평구,32459,24031,74.034936381281,499706,12,213372,40,77337,7407,31377,4540,163275,1
서구,38340,29108,75.9207094418362,2157542,18,232834,47,79560,8489,65831,3430,34297,1
연수구,52156,34346,65.85244267198405,271750,15,155984,41,48414,7101,35976,3520,39755,2
인천중구,32391,22536,69.57488191164212,587372,8,71061,26,34830,2887,19132,4160,253090,1
